Options,Score,Count,Percentage
Recommend with Enthusiasm,5,48,57%
Likely to Recommend,4,22,26%
Recommend with Reservations,3,10,12%
Unlikely to Recommend,2,3,4%
Definitely not Recommend,1,1,1%
Statistics,Value,,
Response Ratio,78%,,
Mean,4.35,,
Median,5,,
Standard Deviation,0.91,,
