Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,31,39
Likely to Recommend,4,27,34
Recommend with Reservations,3,15,19
Unlikely to Recommend,2,3,4
Definitely not Recommend,1,4,5
