Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,21,57%,38%,5%,0%,0%,4.52,4.21
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",21,48%,38%,10%,5%,0%,4.29,4.2
"Assignments (exams, essays, problem sets, language homework, etc.)",21,43%,43%,14%,0%,0%,4.29,4.07
Feedback you received on work you produced in this course,21,48%,19%,19%,14%,0%,4,4.08
Section component of the course,21,24%,14%,29%,14%,19%,3.1,4.22
