Question,Count,Excellent,Very Good,Good,Fair,Unsatisfactory,Course Mean,FAS Mean
Evaluate the course overall.,197,48%,35%,14%,3%,1%,4.25,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",194,45%,34%,20%,2%,1%,4.21,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",193,39%,39%,17%,5%,0%,4.12,4.1
Feedback you received on work you produced in this course,191,53%,31%,13%,2%,0%,4.36,4.1
Section component of the course,190,67%,22%,9%,3%,0%,4.53,4.26
