Options,Score,Count,Percentage
Recommend with Enthusiasm,5,25,68%
Likely to Recommend,4,10,27%
Recommend with Reservations,3,2,5%
Unlikely to Recommend,2,0,0%
Definitely not Recommend,1,0,0%
