Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,39,46%,36%,8%,8%,3%,4.15,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",37,49%,27%,16%,5%,3%,4.14,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",38,50%,24%,16%,5%,5%,4.08,4.1
Feedback you received on work you produced in this course,38,32%,29%,21%,11%,8%,3.66,4.1
Section component of the course,16,50%,6%,25%,6%,13%,3.75,4.26
