Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,105,65%,28%,7%,0%,1%,4.55,4.21
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",105,62%,29%,6%,3%,1%,4.48,4.2
"Assignments (exams, essays, problem sets, language homework, etc.)",106,52%,31%,12%,5%,0%,4.3,4.07
Feedback you received on work you produced in this course,105,55%,29%,12%,3%,1%,4.34,4.08
Section component of the course,106,72%,15%,8%,5%,0%,4.54,4.22
