Options,Score,Count,Percentage
Recommend with Enthusiasm,5,13,65%
Likely to Recommend,4,5,25%
Recommend with Reservations,3,2,10%
Unlikely to Recommend,2,0,0%
Definitely not Recommend,1,0,0%
Statistics,Value,,
Response Ratio,83%,,
Mean,4.55,,
Median,5,,
Standard Deviation,0.69,,
