Options,Score,Count,Percentage
Recommend with Enthusiasm,5,32,68%
Likely to Recommend,4,13,28%
Recommend with Reservations,3,2,4%
Unlikely to Recommend,2,0,0%
Definitely not Recommend,1,0,0%
Statistics,Value,,
Response Ratio,77%,,
Mean,4.64,,
Median,5,,
Standard Deviation,0.57,,
