Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,32,23
Likely to Recommend,4,42,30
Recommend with Reservations,3,38,27
Unlikely to Recommend,2,16,12
Definitely not Recommend,1,11,8
