Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,32,13
Likely to Recommend,4,112,45
Recommend with Reservations,3,74,30
Unlikely to Recommend,2,25,10
Definitely not Recommend,1,6,2
