Question,Count,Excellent,Very Good,Good,Fair,Unsatisfactory,Course Mean,FAS Mean
Evaluate the course overall.,49,51%,24%,16%,4%,4%,4.14,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",48,31%,31%,25%,8%,4%,3.77,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",48,44%,29%,17%,6%,4%,4.02,4.1
Feedback you received on work you produced in this course,46,43%,33%,13%,4%,7%,4.02,4.1
Section component of the course,48,54%,27%,10%,4%,4%,4.23,4.26
