Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,70,39%,37%,24%,0%,0%,4.14,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",70,41%,36%,19%,4%,0%,4.14,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",70,36%,36%,27%,1%,0%,4.06,4.1
Feedback you received on work you produced in this course,70,43%,24%,24%,9%,0%,4.01,4.1
Section component of the course,70,49%,24%,19%,7%,1%,4.11,4.26
