Options,Score,Count,Percentage
Recommend with Enthusiasm,5,18,64%
Likely to Recommend,4,6,21%
Recommend with Reservations,3,3,11%
Unlikely to Recommend,2,1,4%
Definitely not Recommend,1,0,0%
Statistics,Value,,
Response Ratio,76%,,
Mean,4.46,,
Median,5,,
Standard Deviation,0.84,,
