Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,28,27
Likely to Recommend,4,32,31
Recommend with Reservations,3,29,28
Unlikely to Recommend,2,8,8
Definitely not Recommend,1,6,6
