Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,8,26
Likely to Recommend,4,10,32
Recommend with Reservations,3,10,32
Unlikely to Recommend,2,2,6
Definitely not Recommend,1,1,3
