Options,Score,Count,Percentage
Recommend with Enthusiasm,5,16,41%
Likely to Recommend,4,14,36%
Recommend with Reservations,3,6,15%
Unlikely to Recommend,2,2,5%
Definitely not Recommend,1,1,3%
Statistics,Value,,
Response Ratio,81%,,
Mean,4.08,,
Median,4,,
Standard Deviation,1.01,,
