Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,74,69%,26%,4%,1%,0%,4.62,4.25
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",74,76%,16%,7%,1%,0%,4.66,4.25
"Assignments (exams, essays, problem sets, language homework, etc.)",73,68%,22%,7%,1%,1%,4.55,4.12
Feedback you received on work you produced in this course,73,73%,12%,11%,4%,0%,4.53,4.13
Section component of the course,73,71%,15%,10%,3%,1%,4.52,4.27
