Options,Score,Count,Percentage
Recommend with Enthusiasm,5,11,16%
Likely to Recommend,4,25,36%
Recommend with Reservations,3,22,31%
Unlikely to Recommend,2,6,9%
Definitely not Recommend,1,6,9%
Statistics,Value,,
Response Ratio,73%,,
Mean,3.41,,
Median,4,,
Standard Deviation,1.12,,
