Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,37,23
Likely to Recommend,4,43,27
Recommend with Reservations,3,53,34
Unlikely to Recommend,2,12,8
Definitely not Recommend,1,13,8
