Options,Score,Count,Percentage
Recommend with Enthusiasm,5,28,70%
Likely to Recommend,4,7,18%
Recommend with Reservations,3,5,13%
Unlikely to Recommend,2,0,0%
Definitely not Recommend,1,0,0%
