Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,17,82%,12%,6%,0%,0%,4.76,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",16,69%,19%,13%,0%,0%,4.56,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",16,56%,19%,19%,6%,0%,4.25,4.1
Feedback you received on work you produced in this course,16,56%,31%,0%,6%,6%,4.25,4.1
Section component of the course,15,67%,20%,7%,0%,7%,4.4,4.26
