Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,22,18%,18%,14%,36%,14%,2.91,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",22,14%,18%,27%,32%,9%,2.95,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",22,18%,36%,23%,18%,5%,3.45,4.1
Feedback you received on work you produced in this course,22,23%,23%,27%,18%,9%,3.32,4.1
Section component of the course,22,45%,18%,23%,9%,5%,3.91,4.26
