Options,Score,Count,Percentage
Recommend with Enthusiasm,5,14,64%
Likely to Recommend,4,6,27%
Recommend with Reservations,3,2,9%
Unlikely to Recommend,2,0,0%
Definitely not Recommend,1,0,0%
Statistics,Value,,
Response Ratio,56%,,
Mean,4.55,,
Median,5,,
Standard Deviation,0.67,,
