Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,24,67%,25%,8%,0%,0%,4.58,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",25,68%,24%,4%,4%,0%,4.56,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",22,59%,36%,5%,0%,0%,4.55,4.1
Feedback you received on work you produced in this course,22,55%,27%,18%,0%,0%,4.36,4.1
Section component of the course,21,57%,19%,5%,14%,5%,4.1,4.26
