Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,15,39
Likely to Recommend,4,15,39
Recommend with Reservations,3,7,18
Unlikely to Recommend,2,1,3
Definitely not Recommend,1,0,0
