Options,Score,Count,Percentage
Recommend with Enthusiasm,5,16,33%
Likely to Recommend,4,18,38%
Recommend with Reservations,3,9,19%
Unlikely to Recommend,2,3,6%
Definitely not Recommend,1,2,4%
