Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,31,65
Likely to Recommend,4,7,15
Recommend with Reservations,3,7,15
Unlikely to Recommend,2,2,4
Definitely not Recommend,1,1,2
