Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,12,20
Likely to Recommend,4,22,37
Recommend with Reservations,3,16,27
Unlikely to Recommend,2,6,10
Definitely not Recommend,1,4,7
