Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,37,59%,35%,5%,0%,0%,4.54,4.26
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",37,57%,35%,8%,0%,0%,4.49,4.24
"Assignments (exams, essays, problem sets, language homework, etc.)",37,57%,32%,8%,3%,0%,4.43,4.14
Feedback you received on work you produced in this course,36,47%,22%,17%,11%,3%,4,4.14
Section component of the course,21,52%,24%,10%,14%,0%,4.14,4.29
