Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,101,40%,32%,22%,6%,1%,4.03,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",96,45%,27%,25%,2%,1%,4.13,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",95,33%,39%,21%,6%,1%,3.96,4.1
Feedback you received on work you produced in this course,94,45%,30%,20%,3%,2%,4.12,4.1
Section component of the course,73,51%,32%,16%,0%,1%,4.3,4.26
