Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,21,57%,24%,19%,0%,0%,4.38,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",20,60%,20%,15%,5%,0%,4.35,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",21,19%,43%,38%,0%,0%,3.81,4.1
Feedback you received on work you produced in this course,20,55%,15%,30%,0%,0%,4.25,4.1
Section component of the course,16,63%,31%,6%,0%,0%,4.56,4.26
