Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,39,31%,33%,26%,10%,0%,3.85,4.24
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",39,36%,23%,23%,13%,5%,3.72,4.21
"Assignments (exams, essays, problem sets, language homework, etc.)",39,36%,28%,23%,13%,0%,3.87,4.1
Feedback you received on work you produced in this course,39,36%,28%,23%,13%,0%,3.87,4.1
Section component of the course,24,46%,29%,25%,0%,0%,4.21,4.26
