Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,22,64%,23%,9%,5%,0%,4.45,4.26
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",22,59%,36%,5%,0%,0%,4.55,4.24
"Assignments (exams, essays, problem sets, language homework, etc.)",22,64%,18%,18%,0%,0%,4.45,4.14
Feedback you received on work you produced in this course,22,64%,23%,0%,14%,0%,4.36,4.14
Section component of the course,9,100%,0%,0%,0%,0%,5,4.29
