Question,Count,Excellent (%),Very Good (%),Good (%),Fair (%),Unsatisfactory (%),Course Mean,FAS Mean
Evaluate the course overall.,70,21%,33%,23%,16%,7%,3.46,4.26
"Course materials (readings, audio-visual materials, textbooks, lab manuals, website, etc.)",70,24%,24%,33%,14%,4%,3.5,4.24
"Assignments (exams, essays, problem sets, language homework, etc.)",66,23%,27%,26%,17%,8%,3.41,4.14
Feedback you received on work you produced in this course,67,24%,16%,27%,27%,6%,3.25,4.14
Section component of the course,51,29%,33%,27%,10%,0%,3.82,4.29
