Options,Score,Count,Percentage (%)
Recommend with Enthusiasm,5,49,31
Likely to Recommend,4,49,31
Recommend with Reservations,3,44,28
Unlikely to Recommend,2,5,3
Definitely not Recommend,1,10,6
